Question,Answer,Tag
What is an OCI card or Overseas Citizen of India Card?,"Overseas Citizen of India is any person who is a foreign national and who was or is:
eligible to become citizen of India on 26.01.1950
a citizen of India on or at anytime after 26.01.1950
belonged to a territory that became part of India after 15.08.1947
minor children of such person.
However, if the applicant had ever been a citizen of Pakistan or Bangladesh, he/she will not be eligible for OCI.
OCIs are entitled to a multipurpose, multiple entry, lifelong visa allowing them to visit India at any time, for any length of time and for any purpose. They are exempted from police reporting for any length of stay in the country. They have also been granted all rights in the economic, financial and education fields in parity with NRIs except, the right to acquisition of agricultural or plantation properties.",immigration
Can a person holding tourist visa in India get married in that duration in India?,"Yes, a person holding tourist visa in India can get married in that duration in India. It is advised that you get your marriage registration in India. Unfortunately there is no specific spouse visa in India. However, you can get your Tourist Visa converted into an X visa, by a time consuming process without leaving the country.
Prior to September 2012, all applications for the extension and conversion of tourist visas on the grounds of marriage had to be directly made through the Ministry of Home Affairs (MHA) in Delhi. Now, the task of processing applications has been delegated to Foreigner Regional Registration Offices (FRRO) and Foreigner Registrations Offices (FRO) across India. This means that instead of going to Delhi for an interview, you'll need to apply at your local FRRO/FRO.
The main documents required for Tourist to X Visa conversions are:
Marriage certificate.
Recent photo in the specified format.
Passport and visa.
Spouse's Indian identification (such as Indian passport).
Proof of residence.
An Indemnity Bond on 100 rupee stamp paper, signed by the spouse.
Report from the relevant local police station about marital status, including observations, confirmation of living together, and security clearance.
 ",immigration
What is the validity of Indian Employment visa?,"Any foreign national entering India on an Indian Employment Visa must check in and register with the concerned FRO/FRRO within a period of 14 days from their arrival in India.
In most cases, the first Employment Visa that a foreign national is granted has a validity of one year. The first extension of an Employment Visa's validity will be done by the Ministry of Home Affairs and must be initiated by the Visa holder and his/her employing company, NGO, organization, industry, etc. Further extensions, if required, are processed by the relevant State Government or FRO/FRRO. The maximum extension possible is for a period of 5 years from the Employment Visa date of issue. ",immigration
What will happen if I forgot to renew my visa in India?,"Overstaying in India amounts to a criminal offense and is dealt with seriously. A foreigner who overstays in the country may have to pay a fine, face imprisonment and even be barred from entering the country in the future if the circumstance demands so. Regardless of whether one's overstay is for a long or short period, the individual will be regarded as an illegal migrant.
Under Section 14 of the Foreigners Act, 1946, a foreign national who overstays his visa will be penalized. This section of the Act provides for penalizing a foreign national who remains in India for a period exceeding the period allowed by the visa. The penalty may extend to an imprisonment term of 5 years along with a monetary fine. ",immigration
What is a medical visa and how can I get it in India?,"Indian Medical Visa is specifically for the patients who seek medical treatment in recognized treatment centers and specialized hospitals in India. This could be for significant treatment like organ transplant, neurosurgery, gene therapy, heart surgery, joint replacement, and plastic surgery. Those who accompany the patient are issued Medical Attendant Visas. The Medical Attendant visas can be given maximum to 2 people. ",immigration
How can I migrate from India to USA?,"The process to immigrate to US comprises of a few steps which can be best explained to you by good immigration lawyer in India. You need to first file an application to the appropriate Authority. To put it in brief, it comprises of following steps-
First petition at USCIS
Second step is National Visa Centre Processing
Pay prescribed fees
Submit documents as demanded
Wait for the Interview Call regarding confirmation
 ",immigration
Who is a PIO or Person of Indian Origin ?,"A Person of Indian Origin or PIO means a foreign citizen (except a national of Pakistan, Afghanistan Bangladesh, China, Iran, Bhutan, Sri Lanka and Nepal) who:
At any time held an Indian passport
Is a spouse of a citizen of India or Person of Indian origin
Whose parents or grandparents or great grandparents were born and permanently resided in India.
PIO card holders do not require a visa for a period of 15 years to visit India from the date of issue of such card. They also enjoy parity with NRIs in regards to economic, financial and educational benefits. ",immigration
How can I get a Student visa in India?,"Indian student visa is applied for by foreign students who wish to study long term courses. Foreign students go for officially recognized education institutions in order to study a long term course. These study courses include Yoga Study, Vedic Culture, Indian System of Music & Dance, etc.
It is required to provide student admission or student registration papers of the institution to obtain the Visa. The validity period of such visas are generally issued for the duration period of the course or up to 5 years that can be extended in India. You can apply directly for the Student visa with certain formalities:
Registration acceptance letter by Institution
Valid identity proof
Purpose of visit
Duration of Course
Place of residence during the study.
 ",immigration
What are the documents required for Indian business visa?,"The documents required for Indian business visa are as follows :
The foreign national must have a valid travel document and a re-entry permit, if required under the law of the country concerned.
Proof of financial standing and expertise in the field of intended business.
Documents/ papers pertaining to proposed business activity such as the registration of the company under the Companies Act, proof of registration of the firm with the State Industries Department or the Export Promotion Council concerned or any recognised promotional body in the relevant field of industry or trade etc.
It is advisable that you speak to a good immigration consultant once to know about all formalities and documents. ",immigration
What is the merger of PIO and OCI cards?,"The merger of PIO and OCI cards is to ensure uniform rules and extension of benefits to all. Thus, you no longer require a PIO. You can only apply for OCI card or get your PIO card converted. Benefits of merger:
Simplification of rules under a single umbrella
PIO card holders get additional benefits similar to OCI card holders
Simplified visa- free entry for people of Indian origin
5 year rule applicable to all for obtaining Indian citizenship.
 ",immigration
How can I migrate from India to Canada?,"You need to file an application to the appropriate authority and decide as to which category do you wish to apply your visa for. The categories include:
Express entry for immigration as a skilled worker
Quebec selected skilled workers
Immigrant investors
Family sponsorship
Start-up Visa.
You can find best immigration consultants online who can help you with the filing of application. ",immigration
What is the difference between a business visa and an employment visa?,"The basic difference between business and employment visa is:
A Business Visa is given to those foreign nationals who wish to travel to India to promote, establish, or negotiate business-related activities in India. Even people who want to establish contact for future business relations are allowed to travel on this Visa. Large manufacturing companies and engineering establishments, etc. use Business Visas to send their representatives or salesmen or executives to the country to promote and sell their goods or buy large quantities of Indian-made products.
An Employment Visa in India is issued to those foreign nationals who wish to travel to India in order to be employed by a business concern or NGO functioning in India. The intention of these Visa applicants is not to establish business communication or establish a business itself in India, but to contribute their knowledge, skill, and experience in a professional capacity to an existing business, NGO, corporation, etc. or for the completion or execution of projects.
 ",immigration
What is Indian Entry X visa?,"Indian Entry X visa is for the people of other countries who want to come to India but do not come under any specific category for an Indian Visa applicant. Volunteers can be one example of this category. This kind of visa is limited for the following types of visitors to the country:
A foreigner who is of Indian origin.
The spouse and kids of the foreigner of Indian origin
Indian citizen residing abroad
The spouse and dependent kids of a foreigner visitor on a long term Visa like Employment visa or Business Visa.
However, those who are of Indian Origin and are visiting India can apply for this Entry X Visa while visiting India. The Entry X Visa is not subject to two months gap. Those holding this visa cannot work in India or accept any kind of future or present employment. X Visa holders can get an extension in India. You can consult top immigration lawyers online for further information. ",immigration
Can I get visa to travel to any country from India if I have a criminal case pending against me?,"Getting a passport in existence of pendency of criminal proceeding depends on a case-to-case basis and is covered by Section 6 of Indian Passports Act. The general procedure in such cases is dependent upon the magnitude of crime and the nature of criminal proceedings and the offence and you can hire best criminal lawyers in India for help.
If the crime is of a mild degree or of amount not exceeding a few thousands or of a crime wherein imprisonment is less than 1 year, you can obtain passport only after the leave of the Court is granted. It is important to understand that reason behind non-issuance of passport is to ensure that the accused does not flee away, the victim gets justice, and proceedings can be continued. In this view, if the crime is not of a large magnitude, an application can be sent to the Court where the case is pending listing the reasons to obtain passport, desired dates of journey, and an assurance that the accused will not flee away.
If the crime is of a large magnitude and involves lakhs of money or relates to robbery, murder or any such non-bailable offence or an offence wherein arrest is or can be made to ensure the presence of the accused, it is difficult to obtain a passport for the simple reason that the Court fears that the victim will flee away. Thus, it is advisable that you consult a good criminal litigation lawyer in India who can move your application to Court efficiently to ensure that you are given the relief you seek. ",immigration
What is the easiest way to migrate to Canada?,"The easiest ways to migrate to Canada from India are many. However, an experienced immigration consultant can guide you in a better way. A brief summary is as follows:
Marriage to a Canadian-born citizen
If your spouse is a permanent resident or a Canadian citizen, then he/she can sponsor an eligible family member to live in Canada as a permanent resident.
Apply for IEC International Experience Canada
This visa allows you to work in Canada in any profession. If you are between the ages of 18 and 35, this may be your ticket into Canada. You can enter Canada on an open work permit, which means you don't need a job offer, this works similarly to a work permit.
Apply as the Au-Pair (Live-in Caregiver)
This is great for anyone who has no specific skills. You will need a high school education, a job offer and either six-months training or one year experience as an au-pair to apply for this work permit.
Student Permit
If you can afford it or you have a scholarship, the best way to go to Canada is through a study permit.
Visitor Visa
If you thought the only way to get to Canada is with a job offer and a work permit, then you will be happy to know that you can also apply to visit the country on a Visitor's Visa. Visitor Visa gives you the ability to enjoy in the beauty of Canada for the maximum period of six months, but not to work.
Work Permit with Job Offer
If you have the university education, work experience and meet the requirements as required, you can find a job offer with any Canadian employer. ",immigration
